0	2
0	19
0	54
0	66
1	4
1	8
1	16
2	3
3	2
3	8
3	11
4	17
4	28
4	5
5	76
6	77
6	47
6	48
6	8
6	7
6	13
6	36
7	6
7	36
8	3
8	6
9	29
10	29
10	44
11	3
11	74
11	12
12	11
12	74
13	6
14	16
14	48
14	47
15	48
16	14
16	49
16	44
16	47
17	98
18	8
18	22
18	35
19	33
20	30
20	34
21	66
21	22
21	26
21	27
23	35
23	31
24	11
24	66
24	32
25	73
28	35
28	30
29	10
29	9
30	20
30	28
30	34
30	35
31	23
31	35
32	88
32	89
33	51
33	53
33	50
33	65
33	35
33	55
34	30
34	20
35	23
35	28
35	30
35	31
35	33
36	6
36	7
37	38
38	39
39	41
40	50
42	99
43	10
43	11
43	88
44	10
44	16
45	16
45	32
45	77
46	11
46	12
47	6
47	14
47	16
48	6
48	14
48	15
48	49
49	16
49	48
50	33
51	33
51	52
52	51
52	53
53	54
53	52
53	55
53	33
53	56
53	57
53	58
53	59
53	60
53	61
53	62
53	63
53	64
54	53
55	53
55	80
55	33
56	53
57	53
58	53
59	53
59	64
60	53
61	53
62	53
63	53
64	53
64	59
65	66
65	67
65	68
65	69
65	70
65	71
65	72
65	73
65	74
65	75
65	76
65	77
65	86
65	87
65	88
65	99
65	33
66	65
66	70
66	74
67	65
67	70
68	65
69	65
69	81
70	65
70	67
70	83
70	81
70	85
70	90
70	75
70	66
71	65
72	65
73	65
73	25
74	65
74	11
74	12
74	81
74	66
75	65
75	70
76	65
77	65
77	78
78	65
78	81
78	87
78	77
79	65
80	65
80	55
81	65
81	69
81	70
81	74
81	78
81	88
81	84
82	65
83	65
83	70
84	65
84	81
85	65
85	70
86	65
87	65
87	78
88	65
88	81
89	65
90	65
90	70
91	65
92	65
93	65
94	65
95	65
96	65
96	97
96	98
97	65
97	96
97	98
98	65
98	97
98	96
98	99
99	65
99	98
