3448	3448
1851	1851
1048	1048
590	590
2856	2856
3187	3187
512	512
848	848
2883	2883
1390	1390
3691	3691
2176	2176
2748	2748
3302	3302
2544	2544
3320	3320
564	564
2394	2394
853	853
3658	3658
1104	1104
60	60
3148	3148
1909	1909
2535	2535
1452	1452
934	934
221	221
674	674
1818	1818
2848	2848
2702	2702
839	839
2459	2459
884	884
1497	1497
2283	2283
471	471
2084	2084
580	580
197	197
2934	2934
1203	1203
1450	1450
1925	1925
753	753
87	87
3138	3138
2218	2218
1337	1337
3401	3401
14	14
92	92
2397	2397
2805	2805
2336	2336
601	601
458	458
514	514
86	86
1046	1046
226	226
121	121
3555	3555
3299	3299
3253	3253
105	105
1205	1205
3020	3020
1040	1040
3521	3521
2081	2081
2439	2439
2060	2060
1783	1783
2649	2649
2292	2292
366	366
3254	3254
3544	3544
382	382
126	126
2994	2994
937	937
2409	2409
2005	2005
2440	2440
2962	2962
2684	2684
